fiyat,tarih,boyut,m2,yaş,kat,adres
15.500,09-02-2024,2 + 1,85 m²,2 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
14.500,06-02-2024,1 + 1,75 m²,25 Yaşında,2. Kat,"Kağıthane, Sultan Selim Mahallesi"
19.500,05-02-2024,2 + 1,85 m²,20 Yaşında,En Üst Kat,"Kağıthane, Seyrantepe Mahallesi"
21.000,06-02-2024,1 + 1,55 m²,25 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
24.000,29-01-2024,2 + 1,80 m²,1 Yaşında,Gürsel Residence 3-12 Ay İçin Müsait Kiralık Eşyalı 2+1 Daire اجاره واحد دو خواب مبله,Behzad
13.000,05-02-2024,2 + 1,85 m²,8 Yaşında,Kot 1,"Kağıthane, Gültepe Mahallesi"
47.000,09-02-2024,3 + 1,165 m²,16 Yaşında,Ara Kat,"Kağıthane, Hamidiye Mahallesi"
14.500,09-02-2024,1 + 1,80 m²,8 Yaşında,Çatı Katı,"Kağıthane, Hürriyet Mahallesi"
22.000,09-02-2024,1 + 1,70 m²,4 Yaşında,3. Kat,"Kağıthane, Çağlayan Mahallesi"
23.000,09-02-2024,3 + 1,150 m²,5 Yaşında,4. Kat,"Kağıthane, Yahya Kemal Mahallesi"
22.000,09-02-2024,2 + 1,85 m²,4 Yaşında,3. Kat,"Kağıthane, Talatpaşa Mahallesi"
55.000,09-02-2024,2 + 1,117 m²,4 Yaşında,3. Kat,"Kağıthane, Yahya Kemal Mahallesi"
22.500,09-02-2024,3 + 1,130 m²,8 Yaşında,Tempa Emlak Ofisi’Nden Kağıthane Hamidiye Mh'De Asansörlü Kiralık Dubleks Daire,Taylan
16.000,09-02-2024,2 + 1,100 m²,5 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
15.000,09-02-2024,2 + 1,90 m²,5 Yaşında,2. Kat,"Kağıthane, Şirintepe Mahallesi"
25.000,09-02-2024,2 + 1,85 m²,2 Yaşında,10. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
25.500,09-02-2024,2 + 1,80 m²,Sıfır Bina,Resim Modern - Site İçi 2+1 Sıfır Boş Daire!!!,Tamer
23.000,09-02-2024,3 + 1,150 m²,5 Yaşında,4. Kat,"Kağıthane, Merkez Mahallesi"
22.000,09-02-2024,2 + 1,90 m²,7 Yaşında,2. Kat,"Kağıthane, Seyrantepe Mahallesi"
13.000,09-02-2024,2 + 1,80 m²,25 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
17.000,09-02-2024,1 + 1,70 m²,28 Yaşında,Emniyetevler 4.Leventte Metroya Yakın Eşyalı Kiralık 1+1 Daire,Savaş
14.500,09-02-2024,1 + 1,60 m²,13 Yaşında,Giriş Katı,"Kağıthane, Sultan Selim Mahallesi"
18.000,09-02-2024,2 + 1,95 m²,8 Yaşında,1. Kat,"Kağıthane, Gültepe Mahallesi"
25.000,09-02-2024,3 + 1,120 m²,20 Yaşında,6. Kat,"Kağıthane, Merkez Mahallesi"
35.000,09-02-2024,1 + 1,60 m²,3 Yaşında,Avrupa Konutları Çamlıvadi 1+1 Güncel Kiralık Daire,Mehmet
18.000,09-02-2024,1 + 1,60 m²,Sıfır Bina,Resım Modern- Site İçi 1+1 Sıfır Boş Daire !!!,Tamer
8.100,07-02-2024,1 + 1,55 m²,25 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
14.500,09-02-2024,1 + 1,65 m²,12 Yaşında,Giriş Katı,"Kağıthane, Sultan Selim Mahallesi"
15.100,09-02-2024,2 + 1,75 m²,Sıfır Bina,Kot 2,"Kağıthane, Yeşilce Mahallesi"
17.000,09-02-2024,2 + 1,85 m²,28 Yaşında,4. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
17.500,09-02-2024,2 + 1,95 m²,8 Yaşında,1. Kat,"Kağıthane, Gültepe Mahallesi"
5.000,26-01-2024,1 + 1,120 m²,10 Yaşında,Yüksek Giriş,"Kağıthane, Hamidiye Mahallesi"
11.000,09-02-2024,1 + 1,65 m²,21 Yaşında,Yüksek Giriş,"Kağıthane, Gültepe Mahallesi"
22.500,09-02-2024,1 + 1,65 m²,3 Yaşında,5. Kat,"Kağıthane, Merkez Mahallesi"
20.000,09-02-2024,2 + 2,135 m²,5 Yaşında,6. Kat,"Kağıthane, Hürriyet Mahallesi"
15.250,28-01-2024,2 + 1,85 m²,Sıfır Bina,Giriş Katı,"Kağıthane, Talatpaşa Mahallesi"
7.000,09-02-2024,2 + 1,85 m²,6 Yaşında,1. Kat,"Kağıthane, Sultan Selim Mahallesi"
15.000,09-02-2024,2 + 1,80 m²,9 Yaşında,4. Kat,"Kağıthane, Sultan Selim Mahallesi"
12.500,16-01-2024,1 + 1,90 m²,16 Yaşında,4. Kat,"Kağıthane, Merkez Mahallesi"
17.000,09-02-2024,1 + 1,75 m²,25 Yaşında,En Üst Kat,"Kağıthane, Emniyet Evleri Mahallesi"
13.500,09-02-2024,2 + 1,100 m²,25 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
90.000,08-02-2024,4 + 1,225 m²,5 Yaşında,Ara Kat,"Kağıthane, Seyrantepe Mahallesi"
16.850,08-02-2024,3 + 1,130 m²,10 Yaşında,Giriş Katı,"Kağıthane, Merkez Mahallesi"
65.000,09-02-2024,3 + 1,157 m²,2 Yaşında,8. Kat,"Kağıthane, Seyrantepe Mahallesi"
17.500,08-02-2024,2 + 1,90 m²,23 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
30.000,20-12-2023,1 + 1,91 m²,Sıfır Bina,Ara Kat,"Kağıthane, Yahya Kemal Mahallesi"
14.500,09-02-2024,2 + 1,100 m²,24 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
17.750,09-02-2024,1 + 1,55 m²,15 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
18.000,09-02-2024,2 + 1,90 m²,30 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
50.000,09-02-2024,2 + 1,101 m²,4 Yaşında,Avangart İstanbul 2+1 Eşyalı Güncel Kiralık Daire,Mehmet
27.000,10-01-2024,1 + 1,65 m²,4 Yaşında,14. Kat,"Kağıthane, Hürriyet Mahallesi"
15.000,09-02-2024,2 + 1,110 m²,25 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
47.500,09-02-2024,1 + 1,70 m²,2 Yaşında,5. Kat,"Kağıthane, Hamidiye Mahallesi"
20.000,09-02-2024,2 + 1,90 m²,23 Yaşında,6. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
23.000,08-02-2024,2 + 1,85 m²,4 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.000,19-12-2023,2 + 1,70 m²,3 Yaşında,2. Kat,"Kağıthane, Gürsel Mahallesi"
75.000,08-02-2024,135 + 105,135 m²,3 Yaşında,Avangart İstanbul 3+1 Güncel Boş Satılık Daire,Mehmet
19.500,08-02-2024,1 + 1,70 m²,1 Yaşında,1. Kat,"Kağıthane, Merkez Mahallesi"
30.000,03-01-2024,1 + 1,75 m²,2 Yaşında,Kordon İstanbul 1+1 Kiralık Boş Daire /For Rent,ilk
15.000,08-02-2024,2 + 1,100 m²,20 Yaşında,1. Kat,"Kağıthane, Sultan Selim Mahallesi"
17.500,09-02-2024,2 + 1,100 m²,26 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
14.000,09-02-2024,2 + 1,75 m²,20 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.500,09-02-2024,2 + 1,70 m²,6 Yaşında,2. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
20.000,09-02-2024,2 + 1,100 m²,9 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
30.000,03-01-2024,Stüdyo,55 m²,2 Yaşında,Avangart İstanbul Kiralık 1+0 Boş Daire /For Rent,ilk
15.000,09-02-2024,2 + 1,75 m²,5 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
24.000,09-02-2024,2 + 1,80 m²,5 Yaşında,3. Kat,"Kağıthane, Ortabayır Mahallesi"
20.000,09-02-2024,2 + 1,100 m²,Sıfır Bina,4. Kat,"Kağıthane, Şirintepe Mahallesi"
25.990,08-02-2024,1 + 1,54 m²,1 Yaşında,Telsizler Mint Olive Eşyalı Kiralık 1+1 Daire (995),BLUEGROUND
20.000,09-02-2024,2 + 1,90 m²,25 Yaşında,En Üst Kat,"Kağıthane, Emniyet Evleri Mahallesi"
65.000,09-02-2024,3 + 1,140 m²,4 Yaşında,Avangart İstanbul 3+1 Güncel Fırsat Kiralık Daire,Mehmet
15.000,08-02-2024,2 + 1,100 m²,25 Yaşında,4. Kat,"Kağıthane, Gültepe Mahallesi"
16.000,09-02-2024,2 + 1,100 m²,5 Yaşında,Kot 2,"Kağıthane, Çeliktepe Mahallesi"
13.000,09-02-2024,1 + 1,70 m²,8 Yaşında,Kot 2,"Kağıthane, Çeliktepe Mahallesi"
50.000,03-01-2024,2 + 1,100 m²,2 Yaşında,Avangart İstanbul Kiralık 2+1 Eşyalı Daire -For Rent,ilk
15.500,02-02-2024,1 + 1,90 m²,8 Yaşında,Ara Kat,"Kağıthane, Hamidiye Mahallesi"
17.500,09-02-2024,1 + 1,55 m²,16 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
30.000,07-02-2024,2 + 1,70 m²,1 Yaşında,4. Kat,"Kağıthane, Ortabayır Mahallesi"
23.000,09-02-2024,2 + 1,85 m²,3 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
25.000,09-02-2024,2 + 1,90 m²,4 Yaşında,9. Kat,"Kağıthane, Şirintepe Mahallesi"
12.000,09-02-2024,1 + 1,50 m²,26 Yaşında,Giriş Katı,"Kağıthane, Yahya Kemal Mahallesi"
30.480,08-02-2024,1 + 1,49 m²,4 Yaşında,Kâğıthane Seba Suites Sitesi Eşyalı Kiralık 1+1 Daire (609),BLUEGROUND
65.000,09-02-2024,2 + 1,101 m²,4 Yaşında,Avangart İstanbul 2+1 Güncel Eşyalı Kiralık Daire,Mehmet
18.000,09-02-2024,2 + 1,75 m²,10 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
30.000,09-02-2024,2 + 1,83 m²,Sıfır Bina,2. Kat,"Kağıthane, Ortabayır Mahallesi"
27.000,09-02-2024,2 + 1,90 m²,3 Yaşında,10. Kat,"Kağıthane, Yeşilce Mahallesi"
16.500,09-02-2024,1 + 1,70 m²,5 Yaşında,Giriş Katı,"Kağıthane, Seyrantepe Mahallesi"
15.000,09-02-2024,1 + 1,70 m²,5 Yaşında,Yüksek Giriş,"Kağıthane, Çağlayan Mahallesi"
21.000,08-02-2024,2 + 1,95 m²,20 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
17.000,27-01-2024,2 + 1,85 m²,15 Yaşında,Kot 1,"Kağıthane, Telsizler Mahallesi"
26.000,30-01-2024,2 + 1,97 m²,9 Yaşında,2. Kat,"Kağıthane, Sultan Selim Mahallesi"
15.000,08-02-2024,2 + 1,80 m²,5 Yaşında,Kot 1,"Kağıthane, Yahya Kemal Mahallesi"
27.000,09-02-2024,1 + 1,65 m²,5 Yaşında,Yüksek Giriş,"Kağıthane, Çeliktepe Mahallesi"
18.000,09-02-2024,3 + 1,120 m²,25 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
100.000,08-02-2024,3 + 1,190 m²,4 Yaşında,Avrupa Konutları Çamlıvadi 3+1 Güncel Eşyalı Kiralık Daire,Mehmet
15.000,13-01-2024,2 + 1,100 m²,20 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
15.000,09-02-2024,1 + 1,50 m²,5 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
15.500,09-02-2024,3 + 1,125 m²,20 Yaşında,4. Kat,"Kağıthane, Çağlayan Mahallesi"
30.000,08-02-2024,2 + 1,90 m²,25 Yaşında,5. Kat,"Kağıthane, Ortabayır Mahallesi"
30.000,07-02-2024,1 + 1,80 m²,5 Yaşında,10. Kat,"Kağıthane, Çeliktepe Mahallesi"
30.000,07-02-2024,1 + 1,60 m²,5 Yaşında,5. Kat,"Kağıthane, Çağlayan Mahallesi"
30.000,07-02-2024,1 + 1,55 m²,8 Yaşında,Ara Kat,"Kağıthane, Çağlayan Mahallesi"
45.000,07-02-2024,4 + 2,210 m²,5 Yaşında,5. Kat,"Kağıthane, Ortabayır Mahallesi"
18.000,07-02-2024,2 + 1,85 m²,Sıfır Bina,4. Kat,"Kağıthane, Çağlayan Mahallesi"
18.500,07-02-2024,2 + 1,100 m²,20 Yaşında,3. Kat,"Kağıthane, Ortabayır Mahallesi"
15.000,03-02-2024,2 + 1,90 m²,28 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
60.000,05-02-2024,3 + 1,151 m²,2 Yaşında,2. Kat,"Kağıthane, Hamidiye Mahallesi"
19.500,09-02-2024,1 + 1,85 m²,6 Yaşında,Çeliktepe'De Full Eşyalı Kiralık 1+1 Daire,Hatice
25.000,06-02-2024,1 + 1,75 m²,Sıfır Bina,13. Kat,"Kağıthane, Çeliktepe Mahallesi"
32.000,07-02-2024,1 + 1,57 m²,4 Yaşında,8. Kat,"Kağıthane, Merkez Mahallesi"
25.000,05-02-2024,2 + 1,110 m²,3 Yaşında,9. Kat,"Kağıthane, Gültepe Mahallesi"
16.000,08-02-2024,1 + 1,85 m²,26 Yaşında,3. Kat,"Kağıthane, Gültepe Mahallesi"
10.000,09-02-2024,2 + 1,80 m²,25 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
110.000,08-02-2024,3 + 1,170 m²,1 Yaşında,Avrupa Konutları Çamlı Vadi 3+1 Orman Mnz Eşyalı Kiralık Daire,Mehmet
17.000,07-02-2024,2 + 1,100 m²,26 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
16.500,07-02-2024,1 + 1,60 m²,5 Yaşında,Ara Kat,"Kağıthane, Çağlayan Mahallesi"
60.000,05-02-2024,3 + 1,160 m²,15 Yaşında,Ara Kat,"Kağıthane, Merkez Mahallesi"
19.500,06-02-2024,1 + 1,55 m²,Sıfır Bina,Çatı Katı,"Kağıthane, Nurtepe Mahallesi"
22.500,06-02-2024,1 + 1,60 m²,6 Yaşında,10. Kat,"Kağıthane, Merkez Mahallesi"
110.000,08-02-2024,3 + 1,162 m²,4 Yaşında,Avrupa Konutları Çamlıvadi 3+1 Eşyalı Orman Mnz Kiralık Daire,Mehmet
12.000,09-02-2024,2 + 1,85 m²,5 Yaşında,Kot 2,"Kağıthane, Seyrantepe Mahallesi"
30.000,06-02-2024,1 + 1,70 m²,5 Yaşında,2. Kat,"Kağıthane, Hürriyet Mahallesi"
35.000,05-02-2024,4 + 1,190 m²,10 Yaşında,6. Kat,"Kağıthane, Hamidiye Mahallesi"
45.000,08-02-2024,4 + 1,210 m²,5 Yaşında,5. Kat,"Kağıthane, Ortabayır Mahallesi"
25.000,07-02-2024,1 + 1,60 m²,5 Yaşında,2. Kat,"Kağıthane, Çağlayan Mahallesi"
15.000,09-02-2024,Stüdyo,60 m²,10 Yaşında,Vera Resıdence 1+0 Stüdyo Kiralık Boş Daire Satılık,Bahar
20.000,09-02-2024,3 + 1,130 m²,4 Yaşında,6. Kat,"Kağıthane, Hürriyet Mahallesi"
18.500,07-02-2024,2 + 1,85 m²,20 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
25.000,06-02-2024,1 + 1,60 m²,2 Yaşında,4. Kat,"Kağıthane, Hürriyet Mahallesi"
25.000,09-02-2024,1 + 1,65 m²,4 Yaşında,2. Kat,"Kağıthane, Hürriyet Mahallesi"
30.000,06-02-2024,2 + 1,80 m²,Sıfır Bina,11. Kat,"Kağıthane, Çeliktepe Mahallesi"
31.000,07-02-2024,2 + 1,100 m²,7 Yaşında,2. Kat,"Kağıthane, Merkez Mahallesi"
16.000,08-02-2024,2 + 1,85 m²,40 Yaşında,Çatı Katı,"Kağıthane, Emniyet Evleri Mahallesi"
15.000,05-02-2024,2 + 1,90 m²,5 Yaşında,Kot 1,"Kağıthane, Yahya Kemal Mahallesi"
25.000,07-02-2024,1 + 1,65 m²,5 Yaşında,Ara Kat,"Kağıthane, Çağlayan Mahallesi"
17.500,03-02-2024,2 + 1,80 m²,Sıfır Bina,5. Kat,"Kağıthane, Seyrantepe Mahallesi"
15.000,08-02-2024,2 + 1,75 m²,5 Yaşında,1. Kat,"Kağıthane, Harmantepe Mahallesi"
14.500,09-02-2024,1 + 1,70 m²,20 Yaşında,2. Kat,"Kağıthane, Harmantepe Mahallesi"
19.000,04-02-2024,4 + 1,135 m²,Sıfır Bina,Kot 1,"Kağıthane, Sultan Selim Mahallesi"
95.000,08-02-2024,4 + 1,220 m²,4 Yaşında,Avangart İstanbul 4+1 Fırsat Kiralık Daire,Mehmet
30.000,05-02-2024,1 + 1,75 m²,6 Yaşında,5. Kat,"Kağıthane, Talatpaşa Mahallesi"
25.000,03-02-2024,3 + 1,125 m²,12 Yaşında,5. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
28.850,03-02-2024,1 + 1,55 m²,4 Yaşında,14. Kat,"Kağıthane, Hürriyet Mahallesi"
20.000,09-02-2024,3 + 1,160 m²,26 Yaşında,5. Kat,"Kağıthane, Seyrantepe Mahallesi"
14.000,06-02-2024,1 + 1,80 m²,8 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
11.000,07-02-2024,1 + 1,75 m²,10 Yaşında,4. Kat,"Kağıthane, Telsizler Mahallesi"
17.000,05-02-2024,2 + 1,80 m²,6 Yaşında,Yüksek Giriş,"Kağıthane, Çeliktepe Mahallesi"
17.000,06-02-2024,2 + 1,85 m²,5 Yaşında,Kot 1,"Kağıthane, Merkez Mahallesi"
20.000,07-02-2024,2 + 1,75 m²,2 Yaşında,3. Kat,"Kağıthane, Ortabayır Mahallesi"
25.000,06-02-2024,4 + 1,140 m²,10 Yaşında,5. Kat,"Kağıthane, Gürsel Mahallesi"
16.500,09-02-2024,2 + 1,105 m²,28 Yaşında,Yüksek Giriş,"Kağıthane, Sultan Selim Mahallesi"
15.000,09-02-2024,2 + 1,100 m²,28 Yaşında,6. Kat,"Kağıthane, Talatpaşa Mahallesi"
