fiyat,tarih,boyut,m2,yaş,kat,adres
35.000,20-01-2024,2 + 1,85 m²,5 Yaşında,3. Kat,"Kağıthane, Hürriyet Mahallesi"
11.000,09-02-2024,1 + 1,65 m²,20 Yaşında,Yüksek Giriş,"Kağıthane, Yahya Kemal Mahallesi"
7.000,06-02-2024,2 + 1,70 m²,30 Yaşında,Zemin,"Kağıthane, Şirintepe Mahallesi"
15.000,29-01-2024,2 + 1,95 m²,24 Yaşında,1. Kat,"Kağıthane, Gültepe Mahallesi"
199,28-01-2024,2 + 1,90 m²,2 Yaşında,Kağıthane Ottoman Suit Den Lüx 1+1//2+1 Günlük Haftalık Aylık Dairler,Ottoman Suit
45.000,30-01-2024,1 + 1,81 m²,1 Yaşında,2. Kat,"Kağıthane, Hamidiye Mahallesi"
15.500,09-02-2024,2 + 1,95 m²,18 Yaşında,2. Kat,"Kağıthane, Harmantepe Mahallesi"
17.000,08-12-2023,2 + 1,78 m²,Sıfır Bina,1. Kat,"Kağıthane, Çağlayan Mahallesi"
24.500,08-12-2023,1 + 1,80 m²,Sıfır Bina,Levent Yeni Binada Modern Esyalı Ferah Manzaralı Kiralık 1+1,Selin
37.500,01-02-2024,2 + 2,104 m²,5 Yaşında,11. Kat,"Kağıthane, Çeliktepe Mahallesi"
33.000,25-01-2024,1 + 1,70 m²,5 Yaşında,Ara Kat,"Kağıthane, Ortabayır Mahallesi"
25.000,31-01-2024,1 + 1,65 m²,4 Yaşında,2. Kat,"Kağıthane, Hürriyet Mahallesi"
38.000,23-01-2024,1 + 1,70 m²,Sıfır Bina,4. Kat,"Kağıthane, Hamidiye Mahallesi"
18.000,08-02-2024,2 + 1,85 m²,1 Yaşında,3. Kat,"Kağıthane, Hürriyet Mahallesi"
19.000,24-01-2024,2 + 1,80 m²,10 Yaşında,6. Kat,"Kağıthane, Ortabayır Mahallesi"
18.000,06-02-2024,1 + 1,75 m²,25 Yaşında,En Üst Kat,"Kağıthane, Seyrantepe Mahallesi"
16.500,28-01-2024,1 + 1,72 m²,8 Yaşında,1. Kat,"Kağıthane, Gürsel Mahallesi"
25.000,02-02-2024,1 + 1,65 m²,4 Yaşında,2. Kat,"Kağıthane, Hürriyet Mahallesi"
19.000,02-02-2024,2 + 1,110 m²,15 Yaşında,5. Kat,"Kağıthane, Sultan Selim Mahallesi"
16.000,01-02-2024,3 + 1,135 m²,17 Yaşında,Bahçe Katı,"Kağıthane, Ortabayır Mahallesi"
35.000,08-02-2024,1 + 1,80 m²,4 Yaşında,Avangart İstanbul 1+1 Güncel Kiralık Daire,Mehmet
18.000,02-02-2024,1 + 1,70 m²,5 Yaşında,7. Kat,"Kağıthane, Talatpaşa Mahallesi"
26.000,06-02-2024,2 + 1,95 m²,4 Yaşında,9. Kat,"Kağıthane, Talatpaşa Mahallesi"
15.000,01-02-2024,2 + 1,95 m²,20 Yaşında,Kot 1,"Kağıthane, Seyrantepe Mahallesi"
29.000,24-01-2024,2 + 1,75 m²,5 Yaşında,Ara Kat,"Kağıthane, Gültepe Mahallesi"
25.000,21-01-2024,1 + 1,60 m²,5 Yaşında,15. Kat,"Kağıthane, Çağlayan Mahallesi"
26.000,06-02-2024,3 + 1,150 m²,7 Yaşında,En Üst Kat,"Kağıthane, Gürsel Mahallesi"
30.000,15-01-2024,2 + 1,80 m²,5 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
33.000,15-01-2024,3 + 1,135 m²,1 Yaşında,4. Kat,"Kağıthane, Ortabayır Mahallesi"
15.000,08-02-2024,1 + 1,55 m²,5 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
18.000,06-02-2024,2 + 1,90 m²,20 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
18.500,31-01-2024,2 + 1,75 m²,16 Yaşında,1. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
15.000,05-02-2024,2 + 1,79 m²,4 Yaşında,1. Kat,"Kağıthane, Harmantepe Mahallesi"
20.000,08-12-2023,4 + 2,135 m²,Sıfır Bina,2. Kat,"Kağıthane, Çağlayan Mahallesi"
29.500,08-12-2023,2 + 1,122 m²,Sıfır Bina,Şişli Kanyon Yakını Mint Olive Yeni Binada Modern Eşyalı 2+1,Selin
25.000,24-01-2024,1 + 1,62 m²,1 Yaşında,14. Kat,"Kağıthane, Talatpaşa Mahallesi"
25.000,05-02-2024,1 + 1,65 m²,6 Yaşında,2. Kat,"Kağıthane, Çağlayan Mahallesi"
12.500,01-02-2024,1 + 1,75 m²,25 Yaşında,Ara Kat,"Kağıthane, Ortabayır Mahallesi"
28.000,31-01-2024,2 + 1,85 m²,7 Yaşında,8. Kat,"Kağıthane, Hürriyet Mahallesi"
12.000,06-02-2024,1 + 1,75 m²,25 Yaşında,Ara Kat,"Kağıthane, Telsizler Mahallesi"
19.000,22-01-2024,1 + 1,61 m²,3 Yaşında,6. Kat,"Kağıthane, Talatpaşa Mahallesi"
25.000,12-01-2024,3 + 1,150 m²,9 Yaşında,7. Kat,"Kağıthane, Nurtepe Mahallesi"
14.000,22-01-2024,2 + 1,90 m²,25 Yaşında,Kot 1,"Kağıthane, Emniyet Evleri Mahallesi"
15.000,02-02-2024,1 + 1,65 m²,10 Yaşında,Ara Kat,"Kağıthane, Sultan Selim Mahallesi"
14.000,26-01-2024,2 + 1,85 m²,19 Yaşında,Ara Kat,"Kağıthane, Ortabayır Mahallesi"
21.000,25-01-2024,2 + 1,110 m²,22 Yaşında,Yüksek Giriş,"Kağıthane, Emniyet Evleri Mahallesi"
19.000,02-02-2024,2 + 1,100 m²,16 Yaşında,1. Kat,"Kağıthane, Talatpaşa Mahallesi"
15.000,07-02-2024,2 + 1,116 m²,20 Yaşında,4. Kat,"Kağıthane, Gürsel Mahallesi"
16.000,31-01-2024,2 + 1,100 m²,5 Yaşında,Kot 1,"Kağıthane, Gürsel Mahallesi"
15.000,02-02-2024,2 + 1,90 m²,5 Yaşında,4. Kat,"Kağıthane, Hürriyet Mahallesi"
20.000,02-02-2024,2 + 1,65 m²,10 Yaşında,Yüksek Giriş,"Kağıthane, Yahya Kemal Mahallesi"
27.000,09-02-2024,1 + 1,65 m²,3 Yaşında,11. Kat,"Kağıthane, Hürriyet Mahallesi"
26.000,06-02-2024,2 + 1,95 m²,4 Yaşında,9. Kat,"Kağıthane, Talatpaşa Mahallesi"
22.500,16-01-2024,2 + 1,75 m²,5 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
7.500,07-02-2024,3 + 1,135 m²,6 Yaşında,3. Kat,"Kağıthane, Sultan Selim Mahallesi"
15.250,08-02-2024,2 + 1,75 m²,Sıfır Bina,Kot 2,"Kağıthane, Yeşilce Mahallesi"
12.000,06-02-2024,1 + 1,90 m²,30 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
25.500,06-02-2024,2 + 1,80 m²,2 Yaşında,3. Kat,"Kağıthane, Telsizler Mahallesi"
20.000,15-01-2024,2 + 1,88 m²,5 Yaşında,3. Kat,"Kağıthane, Ortabayır Mahallesi"
15.000,03-02-2024,2 + 1,110 m²,30 Yaşında,4. Kat,"Kağıthane, Gürsel Mahallesi"
19.000,09-02-2024,2 + 1,75 m²,25 Yaşında,4. Kat,"Kağıthane, Ortabayır Mahallesi"
32.000,08-02-2024,2 + 1,90 m²,2 Yaşında,2. Kat,"Kağıthane, Hamidiye Mahallesi"
30.000,22-01-2024,2 + 1,85 m²,Sıfır Bina,1. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.000,09-02-2024,2 + 1,90 m²,5 Yaşında,2. Kat,"Kağıthane, Sultan Selim Mahallesi"
18.000,01-02-2024,2 + 1,85 m²,22 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
14.000,08-02-2024,2 + 1,90 m²,6 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
20.000,29-01-2024,3 + 1,105 m²,13 Yaşında,3. Kat,"Kağıthane, Merkez Mahallesi"
45.000,03-02-2024,3 + 1,130 m²,Sıfır Bina,10. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.000,01-02-2024,2 + 1,100 m²,25 Yaşında,Ara Kat,"Kağıthane, Ortabayır Mahallesi"
30.000,28-01-2024,4 + 1,190 m²,5 Yaşında,4. Kat,"Kağıthane, Gürsel Mahallesi"
25.000,06-02-2024,2 + 1,80 m²,5 Yaşında,Yüksek Giriş,"Kağıthane, Ortabayır Mahallesi"
35.000,07-02-2024,2 + 1,95 m²,2 Yaşında,3. Kat,"Kağıthane, Hamidiye Mahallesi"
35.000,24-01-2024,2 + 1,110 m²,2 Yaşında,11. Kat,"Kağıthane, Hamidiye Mahallesi"
13.000,09-02-2024,1 + 1,70 m²,6 Yaşında,Kot 1,"Kağıthane, Merkez Mahallesi"
15.000,07-02-2024,2 + 1,75 m²,4 Yaşında,1. Kat,"Kağıthane, Çağlayan Mahallesi"
29.500,25-01-2024,1 + 1,67 m²,1 Yaşında,14. Kat,"Kağıthane, Hamidiye Mahallesi"
20.000,23-01-2024,2 + 1,85 m²,5 Yaşında,Kot 1,"Kağıthane, Seyrantepe Mahallesi"
23.000,07-02-2024,3 + 1,100 m²,3 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
30.000,18-01-2024,1 + 1,78 m²,4 Yaşında,6. Kat,"Kağıthane, Hamidiye Mahallesi"
15.000,09-02-2024,1 + 1,80 m²,20 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
20.000,15-01-2024,2 + 1,80 m²,11 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
12.000,07-02-2024,1 + 1,65 m²,25 Yaşında,Giriş Katı,"Kağıthane, Ortabayır Mahallesi"
14.500,26-01-2024,2 + 1,90 m²,18 Yaşında,Ara Kat,"Kağıthane, Şirintepe Mahallesi"
50.000,08-02-2024,3 + 1,180 m²,7 Yaşında,Çatı Katı,"Kağıthane, Ortabayır Mahallesi"
12.000,26-01-2024,2 + 1,110 m²,9 Yaşında,Giriş Katı,"Kağıthane, Nurtepe Mahallesi"
20.000,28-01-2024,1 + 1,55 m²,3 Yaşında,12. Kat,"Kağıthane, Sultan Selim Mahallesi"
18.000,02-02-2024,2 + 1,85 m²,1 Yaşında,4. Kat,"Kağıthane, Çağlayan Mahallesi"
8.000,07-02-2024,1 + 1,40 m²,29 Yaşında,5. Kat,"Kağıthane, Sultan Selim Mahallesi"
18.000,09-02-2024,2 + 1,90 m²,8 Yaşında,Kot 1,"Kağıthane, Seyrantepe Mahallesi"
50.000,02-02-2024,2 + 1,127 m²,3 Yaşında,7. Kat,"Kağıthane, Seyrantepe Mahallesi"
20.000,06-02-2024,2 + 1,85 m²,2 Yaşında,2. Kat,"Kağıthane, Merkez Mahallesi"
20.000,06-02-2024,2 + 1,90 m²,90 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
20.000,08-02-2024,1 + 1,65 m²,25 Yaşında,5. Kat,"Kağıthane, Ortabayır Mahallesi"
16.000,22-01-2024,2 + 1,65 m²,9 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
17.500,04-02-2024,2 + 1,85 m²,8 Yaşında,Kot 2,"Kağıthane, Ortabayır Mahallesi"
30.000,05-02-2024,1 + 1,69 m²,Sıfır Bina,1. Kat,"Kağıthane, Ortabayır Mahallesi"
15.500,30-01-2024,2 + 1,85 m²,2 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
12.250,06-02-2024,2 + 1,70 m²,5 Yaşında,Kot 1,"Kağıthane, Mehmet Akif Ersoy Mahallesi"
12.500,07-02-2024,2 + 1,100 m²,25 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
23.500,07-02-2024,1 + 1,55 m²,5 Yaşında,4. Kat,"Kağıthane, Çağlayan Mahallesi"
17.500,30-01-2024,1 + 1,95 m²,17 Yaşında,Gültepe'De Geniş Ferah 1+1 Full Eşyalı Kiralık Daire,İlhan
24.000,12-01-2024,2 + 1,60 m²,8 Yaşında,3. Kat,"Kağıthane, Ortabayır Mahallesi"
13.000,06-02-2024,1 + 1,65 m²,25 Yaşında,Giriş Katı,"Kağıthane, Gültepe Mahallesi"
12.500,02-02-2024,1 + 1,60 m²,30 Yaşında,1. Kat,"Kağıthane, Çağlayan Mahallesi"
18.000,26-01-2024,2 + 1,70 m²,4 Yaşında,3. Kat,"Kağıthane, Harmantepe Mahallesi"
10.500,06-02-2024,1 + 1,70 m²,30 Yaşında,En Üst Kat,"Kağıthane, Sultan Selim Mahallesi"
28.000,31-01-2024,3 + 1,150 m²,8 Yaşında,4. Kat,"Kağıthane, Gürsel Mahallesi"
30.000,06-02-2024,2 + 1,90 m²,7 Yaşında,5. Kat,"Kağıthane, Çeliktepe Mahallesi"
10.500,07-02-2024,2 + 1,80 m²,25 Yaşında,2. Kat,"Kağıthane, Gültepe Mahallesi"
17.500,06-02-2024,1 + 1,65 m²,5 Yaşında,Giriş Katı,"Kağıthane, Sultan Selim Mahallesi"
20.000,18-01-2024,Stüdyo,49 m²,4 Yaşında,4. Kat,"Kağıthane, Hamidiye Mahallesi"
25.000,05-02-2024,4 + 1,140 m²,9 Yaşında,4. Kat,"Kağıthane, Talatpaşa Mahallesi"
18.000,08-02-2024,3 + 1,115 m²,30 Yaşında,3. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.000,12-01-2024,2 + 1,95 m²,26 Yaşında,6. Kat,"Kağıthane, Hamidiye Mahallesi"
25.000,07-02-2024,2 + 1,100 m²,10 Yaşında,4. Kat,"Kağıthane, Şirintepe Mahallesi"
25.000,03-02-2024,2 + 1,90 m²,10 Yaşında,4. Kat,"Kağıthane, Çeliktepe Mahallesi"
20.000,05-02-2024,2 + 1,90 m²,4 Yaşında,2. Kat,"Kağıthane, Merkez Mahallesi"
110.000,08-02-2024,4 + 1,210 m²,2 Yaşında,4. Kat,"Kağıthane, Seyrantepe Mahallesi"
15.000,02-02-2024,2 + 1,75 m²,30 Yaşında,1. Kat,"Kağıthane, Çeliktepe Mahallesi"
23.000,01-02-2024,2 + 1,120 m²,11 Yaşında,6. Kat,"Kağıthane, Hamidiye Mahallesi"
14.000,05-02-2024,Stüdyo,45 m²,10 Yaşında,Giriş Katı,"Kağıthane, Çağlayan Mahallesi"
20.000,08-02-2024,3 + 1,125 m²,20 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
18.000,06-02-2024,1 + 1,60 m²,20 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
25.000,03-02-2024,1 + 1,55 m²,Sıfır Bina,1. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
17.000,29-01-2024,2 + 1,85 m²,15 Yaşında,Kot 1,"Kağıthane, Telsizler Mahallesi"
18.000,19-01-2024,2 + 1,95 m²,31 Yaşında,3. Kat,"Kağıthane, Çeliktepe Mahallesi"
16.000,27-01-2024,3 + 1,135 m²,25 Yaşında,Bahçe Katı,"Kağıthane, Ortabayır Mahallesi"
17.000,01-02-2024,3 + 1,100 m²,30 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
13.000,23-01-2024,2 + 1,90 m²,11 Yaşında,Kot 3,"Kağıthane, Seyrantepe Mahallesi"
15.000,30-01-2024,1 + 1,75 m²,8 Yaşında,Kot 1,"Kağıthane, Telsizler Mahallesi"
17.000,05-02-2024,2 + 1,110 m²,21 Yaşında,3. Kat,"Kağıthane, Hamidiye Mahallesi"
16.000,30-01-2024,3 + 1,106 m²,15 Yaşında,Kot 2,"Kağıthane, Gürsel Mahallesi"
24.500,25-01-2024,1 + 1,55 m²,7 Yaşında,12. Kat,"Kağıthane, Çağlayan Mahallesi"
23.000,26-01-2024,2 + 1,70 m²,5 Yaşında,5. Kat,"Kağıthane, Çağlayan Mahallesi"
12.500,13-01-2024,2 + 1,75 m²,15 Yaşında,2. Kat,"Kağıthane, Telsizler Mahallesi"
12.000,04-02-2024,2 + 1,75 m²,5 Yaşında,Giriş Katı,"Kağıthane, Çağlayan Mahallesi"
17.000,29-01-2024,2 + 1,85 m²,12 Yaşında,2. Kat,"Kağıthane, Nurtepe Mahallesi"
17.500,09-02-2024,1 + 1,65 m²,2 Yaşında,1. Kat,"Kağıthane, Seyrantepe Mahallesi"
21.000,31-01-2024,2 + 1,88 m²,5 Yaşında,2. Kat,"Kağıthane, Ortabayır Mahallesi"
20.000,07-02-2024,3 + 1,140 m²,25 Yaşında,2. Kat,"Kağıthane, Çeliktepe Mahallesi"
12.000,05-02-2024,2 + 1,75 m²,30 Yaşında,3. Kat,"Kağıthane, Çeliktepe Mahallesi"
17.000,06-02-2024,1 + 1,60 m²,28 Yaşında,1. Kat,"Kağıthane, Ortabayır Mahallesi"
17.900,06-02-2024,3 + 1,130 m²,7 Yaşında,Bahçe Katı,"Kağıthane, Sultan Selim Mahallesi"
35.000,03-02-2024,1 + 1,60 m²,5 Yaşında,2. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
26.000,05-02-2024,3 + 1,130 m²,20 Yaşında,4. Kat,"Kağıthane, Ortabayır Mahallesi"
18.000,24-01-2024,2 + 1,70 m²,Sıfır Bina,1. Kat,"Kağıthane, Çağlayan Mahallesi"
11.000,30-01-2024,1 + 1,75 m²,26 Yaşında,4. Kat,"Kağıthane, Harmantepe Mahallesi"
30.000,15-01-2024,1 + 1,80 m²,1 Yaşında,9. Kat,"Kağıthane, Hamidiye Mahallesi"
100.000,30-01-2024,2 + 1,270 m²,10 Yaşında,Levent Te Sapphire Residence Da Teraslı Kiralık Lüks 2+1,VİZYON
20.000,16-01-2024,2 + 1,65 m²,4 Yaşında,2. Kat,"Kağıthane, Emniyet Evleri Mahallesi"
14.500,27-01-2024,2 + 1,78 m²,10 Yaşında,Yüksek Giriş,"Kağıthane, Çeliktepe Mahallesi"
10.000,06-02-2024,1 + 1,65 m²,50 Yaşında,1. Kat,"Kağıthane, Yahya Kemal Mahallesi"
9.000,31-01-2024,Stüdyo,25 m²,5 Yaşında,Kot 1,"Kağıthane, Çağlayan Mahallesi"
37.200,07-02-2024,1 + 1,75 m²,4 Yaşında,Kot 1,"Kağıthane, Çeliktepe Mahallesi"
12.500,25-01-2024,1 + 1,55 m²,5 Yaşında,Kot 1,"Kağıthane, Çağlayan Mahallesi"
20.000,09-02-2024,2 + 1,120 m²,16 Yaşında,1. Kat,"Kağıthane, Harmantepe Mahallesi"
17.000,30-01-2024,2 + 1,85 m²,15 Yaşında,Kot 1,"Kağıthane, Telsizler Mahallesi"
